first_name,last_name,start_date,exit_date,title,supervisor,ad_email,business_unit,employee_status,employee_type,pay_zone,employee_classification_type,termination_type,termination_description,department_type,division,state,job_function_description,gender_code,location_code,race_desc,marital_desc,performance_score,current_employee_rating,employee_id,survey_date,engagement_score,satisfaction_score,worklife_balance_score,training_date,training_program_name,training_type,training_outcome,location,trainer,training_durationdays,training_cost
Yamilet,Cohen,2020-08-17,,Production Technician I,Holly Pearson,yamilet.cohen@bilearner.com,SVG,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Field Operations,MA,Driller,Female,41055,Other,Widowed,Fully Meets,3,1309,,1,1,3,2022-09-09,Technical Skills,External,Failed,North Alexandria,Jennifer Rodriguez,3,517.74
Emmalee,Reynolds,2023-04-03,2023-07-21,Production Technician I,Adam Vang,emmalee.reynolds@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Voluntary,Again kind talk lead.,Production       ,General - Con,MA,Technician,Female,21439,Asian,Single,Fully Meets,3,1310,,3,4,3,2022-10-16,Project Management,Internal,Incomplete,Williamsshire,Samuel Ward,4,350.59
Moshe,Taylor,2023-05-26,2023-06-12,Production Technician I,Anna Townsend,moshe.taylor@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Resignation,Hold parent PM claim star seek.,Production       ,Engineers,MA,Specialist,Male,32645,Asian,Single,Fully Meets,3,1311,,5,2,3,2022-10-17,Leadership Development,Internal,Incomplete,New Jacobton,Christopher Brown,1,546.94
Irene,Melton,2021-04-10,,Production Technician I,Edgar Moore,irene.melton@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,General - Eng,MA,Technician,Female,47354,Black,Widowed,Fully Meets,3,1312,,2,5,2,2023-04-29,Communication Skills,Internal,Completed,West Davidview,Christopher Mcfarland,4,514.37
Eddie,Whitney,2023-04-18,,Production Technician I,Gary Nelson,eddie.whitney@bilearner.com,PYZ,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Field Operations,MA,Operator,Female,64005,Hispanic,Single,Fully Meets,3,1313,,5,4,1,2022-10-25,Leadership Development,Internal,Incomplete,West Christopher,Gregory Woodward,5,786.98
Marcel,Gomez,2021-10-13,2023-06-21,Production Technician I,Andrea Fowler,marcel.gomez@bilearner.com,WBL,Active,Contract,Zone C,Full-Time,Retirement,Nation local peace nation blue official six.,Production       ,General - Con,MA,Technician,Female,91553,White,Divorced,Fully Meets,3,1314,,5,5,3,2023-03-18,Project Management,Internal,Passed,New Dennis,Douglas Green,4,852.21
Amy,Foster-Baker,2020-10-10,,Sr. Accountant,Gina Williams,amy.foster-baker@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Admin Offices,Splicing,MA,Tester,Female,2050,Asian,Widowed,Fully Meets,3,1315,,5,1,1,2023-07-29,Communication Skills,External,Failed,Port Kelly,Gregory Davis,4,761.63
Janet,King,2019-01-20,2021-09-15,President & CEO,Michael West,janet.king@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Involuntary,Upon writer black.,Executive Office,Aerial,MA,Foreman,Female,1902,Asian,Single,Fully Meets,3,1316,,3,4,3,2023-04-20,Technical Skills,External,Passed,South Micheleton,Susan Wilson,5,202.62
Bonalyn,Boutwell,2021-05-09,2022-10-27,Sr. Accountant,Leslie Allen,bonalyn.boutwell@bilearner.com,MSC,Active,Full-Time,Zone A,Part-Time,Involuntary,Everything discover represent full.,Admin Offices,Aerial,MA,Lineman,Female,2468,Black,Widowed,Fully Meets,3,1317,,4,2,2,2022-08-20,Communication Skills,External,Passed,West Jacob,Joseph Flowers,5,414.75
Nan,Singh,2023-07-29,2023-08-04,Administrative Assistant,Donald Decker,nan.singh@bilearner.com,WBL,Active,Contract,Zone B,Temporary,Retirement,Effort off over always. Form house mean treat.,Admin Offices,Field Operations,MA,Laborer,Female,2330,White,Divorced,Fully Meets,3,1318,,5,4,2,2022-10-17,Communication Skills,External,Completed,Angelastad,Mindy Saunders PhD,4,344.55
Tyrone,Steans,2019-08-24,2022-12-14,Accountant I,Donald Richardson,tyrone.steans@bilearner.com,EW,Active,Part-Time,Zone C,Temporary,Involuntary,Value class especially.,Admin Offices,Finance & Accounting,MA,Intern,Male,2703,Asian,Married,Fully Meets,3,1319,,4,2,5,2023-05-19,Project Management,Internal,Failed,Lake Kenneth,Stephen Parker,1,777.46
Estelle,Howard,2018-12-25,,Administrative Assistant,James Bell,estelle.howard@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Unk,,Admin Offices,Wireline Construction,MA,Billing,Female,2170,White,Widowed,Fully Meets,3,1320,,5,1,5,2022-08-25,Leadership Development,External,Completed,Matthewhaven,Michael Cummings,3,948.71
William,LaRotonda,2021-05-27,2021-08-24,Accountant I,Adrienne Roth,william.larotonda@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Involuntary,Actually scene law break four summer ability.,Admin Offices,Project Management - Con,MA,Vp,Male,1460,Black,Single,Fully Meets,3,1321,,1,5,5,2023-01-19,Customer Service,Internal,Passed,New Kimberly,Dustin Morgan,5,308.77
Mia,Brown,2023-02-02,2023-06-23,Accountant I,Jessica Blackwell,mia.brown@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Resignation,Public evidence bag trouble interesting.,Admin Offices,Executive,MA,Ceo,Female,1450,Hispanic,Widowed,Fully Meets,3,1322,,1,5,2,2023-02-24,Customer Service,External,Incomplete,Goodmouth,Lynn Cuevas,1,891.25
Leigh Ann,Smith,2022-12-06,,Administrative Assistant,Mary Walker,leigh ann.smith@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Admin Offices,Aerial,MA,Foreman,Female,1844,Black,Divorced,Fully Meets,3,1323,,5,1,5,2023-03-30,Customer Service,Internal,Passed,East Lindsay,Michael Kramer,2,659.9
Peter,Foley,2021-07-23,,Accountant I,Derrick Garcia,peter.foley@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Admin Offices,General - Con,MA,Helper,Female,11194,Hispanic,Single,Fully Meets,3,1324,,5,3,3,2022-09-30,Project Management,Internal,Failed,Lake Theresa,Paul Torres,2,858.72
Maximus,Carney,2019-11-16,,Accountant I,Jesus Golden,maximus.carney@bilearner.com,TNS,Active,Contract,Zone B,Temporary,Unk,,Admin Offices,Engineers,MA,Drafter,Female,60432,Black,Divorced,Fully Meets,3,1325,,1,5,3,2023-03-28,Project Management,External,Failed,Victorville,Robert Chapman,5,380.24
Jaida,Sweeney,2020-03-08,2021-11-07,Sr. Network Engineer,Mark Greene,jaida.sweeney@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,Alone need gun surface. Bar involve wait often.,Admin Offices,General - Eng,MA,Billing,Male,86677,White,Widowed,Fully Meets,3,1326,,5,3,1,2023-05-01,Leadership Development,External,Passed,Flemingport,Bryan Jones,5,505.4
Rhys,Lawson,2019-01-14,,Sr. Network Engineer,Lisa Mills,rhys.lawson@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Unk,,Admin Offices,Engineers,MA,Engineer,Male,93156,White,Single,Fully Meets,3,1327,,5,3,4,2023-07-02,Leadership Development,Internal,Passed,Abbottton,Belinda Gonzalez,3,609.01
Skyler,Robles,2020-02-29,2021-09-23,Sr. Network Engineer,Robert Sawyer,skyler.robles@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Voluntary,Draw interest over. Vote late marriage kind.,IT/IS,Executive,MA,Vp,Male,66733,Asian,Single,Fully Meets,3,1328,,1,4,3,2023-03-24,Customer Service,Internal,Failed,West Erinhaven,Jonathan Rodriguez,3,656.38
Allyson,Keller,2022-11-25,2023-04-12,Software Engineer,Desiree Bender,allyson.keller@bilearner.com,PL,Active,Contract,Zone B,Part-Time,Resignation,Finish join stage start page your seem.,Software Engineering,Field Operations,MA,Laborer,Male,77070,Black,Widowed,Fully Meets,3,1329,,3,2,5,2023-06-11,Project Management,External,Passed,Port Victoria,Sandra Bates,5,692.63
Eddie,Bauer,2022-09-15,2023-05-05,Accountant I,Jeremy Smith,eddie.bauer@bilearner.com,MSC,Active,Full-Time,Zone A,Part-Time,Retirement,Figure yard develop TV enjoy late standard.,Admin Offices,General - Con,MA,Associate,Female,66991,White,Divorced,Fully Meets,3,1330,,3,5,2,2022-11-20,Project Management,Internal,Incomplete,East Michellechester,Lisa Jenkins,3,633.72
Roger,Taylor,2021-08-11,,Accountant I,Mary Taylor,roger.taylor@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Unk,,Admin Offices,People Services,MA,Intern,Female,69431,Black,Widowed,Fully Meets,3,1331,,3,2,5,2022-09-14,Communication Skills,Internal,Failed,Bradshawburgh,Seth Smith,2,517.62
Marshall,Sellers,2023-08-03,,Sr. Network Engineer,Barry Fitzgerald,marshall.sellers@bilearner.com,PYZ,Active,Contract,Zone B,Part-Time,Unk,,Admin Offices,Wireline Construction,MA,Foreman,Male,12089,Hispanic,Divorced,Fully Meets,3,1332,,1,2,5,2022-08-13,Leadership Development,External,Incomplete,Anthonystad,Adrian Gray,4,231.76
Cloe,Mcgrath,2022-03-14,,Sr. Network Engineer,Tracey Clark,cloe.mcgrath@bilearner.com,WBL,Active,Part-Time,Zone A,Part-Time,Unk,,IT/IS,Field Operations,MA,Laborer,Male,74486,Black,Divorced,Fully Meets,3,1333,,3,4,5,2023-03-01,Customer Service,Internal,Passed,Thomasborough,Tyler Sanchez,2,605.12
Susan,Gordon,2020-09-01,2020-11-29,Sr. Network Engineer,Christina Knight,susan.gordon@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Retirement,Authority our technology administration section.,IT/IS,Underground,MA,Laborer,Male,15975,Other,Widowed,Fully Meets,3,1334,,1,3,1,2023-04-01,Project Management,Internal,Failed,Shawnaport,Felicia Johnson,1,297.12
Makenna,Newton,2021-10-31,,Software Engineer,Debra Garza,makenna.newton@bilearner.com,NEL,Active,Contract,Zone A,Full-Time,Unk,,Software Engineering,General - Con,MA,Technician,Female,27425,White,Divorced,Fully Meets,3,1335,,4,5,5,2023-02-20,Leadership Development,Internal,Incomplete,Port Joseph,Joe Anderson,2,384.43
Kellen,Smith,2020-02-26,2023-03-30,Accountant I,Ashley Petersen,kellen.smith@bilearner.com,TNS,Active,Full-Time,Zone A,Part-Time,Retirement,Author often return hold compare natural.,Admin Offices,Field Operations,MA,Technician,Female,88247,Black,Married,Fully Meets,3,1336,,5,1,4,2022-12-19,Leadership Development,Internal,Passed,Lopezport,Brian Sanchez,4,969.95
Sherlyn,Carroll,2018-08-10,2021-12-07,Accountant I,Jamie Collins,sherlyn.carroll@bilearner.com,WBL,Active,Full-Time,Zone A,Temporary,Resignation,Wonder specific own others card. See else drop.,Admin Offices,General - Con,MA,Safety Manager,Female,71014,White,Single,Fully Meets,3,1337,,3,3,4,2023-01-17,Project Management,External,Failed,Dawnchester,Morgan Haas,5,719.7
Rogelio,Flores,2020-09-30,,Sr. Network Engineer,Stephen Ray,rogelio.flores@bilearner.com,BPC,Active,Contract,Zone C,Part-Time,Unk,,Admin Offices,Shop (Fleet),MA,Mechanic,Male,90987,Other,Widowed,Fully Meets,3,1338,,1,1,1,2022-10-30,Leadership Development,External,Incomplete,Donnaland,Calvin Simmons,1,355.83
Kadence,Gentry,2021-04-01,2022-08-14,Sr. Network Engineer,Michael Norton,kadence.gentry@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Retirement,Though upon remember later.,IT/IS,Wireline Construction,MA,Foreman,Male,47635,Hispanic,Widowed,Fully Meets,3,1339,,1,3,2,2022-11-24,Customer Service,Internal,Incomplete,Taylorhaven,Dana Adams,3,754.47
Willow,Golden,2021-03-21,2021-11-21,Sr. Network Engineer,Diane Ramirez,willow.golden@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,Retirement,My himself avoid traditional simply wait.,IT/IS,General - Eng,MA,Engineer,Male,37302,White,Divorced,Fully Meets,3,1340,,5,4,4,2023-02-06,Leadership Development,External,Incomplete,Dennishaven,Sarah Perkins,2,890.39
Amiyah,Sims,2021-11-03,,Software Engineering Manager,Ralph Sloan,amiyah.sims@bilearner.com,CCDR,Active,Part-Time,Zone C,Full-Time,Unk,,Software Engineering,Engineers,MA,Engineer,Female,76343,Hispanic,Single,Fully Meets,3,1341,,1,3,4,2023-02-14,Project Management,Internal,Passed,West Ryan,Justin Ingram,3,268.78
Jeffery,Hogan,2019-06-22,2019-08-26,Accountant I,Mark Willis,jeffery.hogan@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,Retirement,Win paper unit drug nearly card.,Admin Offices,Aerial,MA,Lineman,Female,2559,Asian,Single,Fully Meets,3,1342,,3,2,2,2023-01-28,Project Management,Internal,Failed,Smithborough,Alejandro Flynn,4,930.72
Shaniya,Hamilton,2019-11-12,2023-05-19,Accountant I,Joshua Huber,shaniya.hamilton@bilearner.com,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Admin Offices,Shop (Fleet),MA,Manager,Female,68008,White,Married,Fully Meets,3,1343,,1,2,3,2022-09-02,Customer Service,External,Completed,West Catherineton,Lori Smith,5,924.85
Johan,Willis,2022-09-20,,Accountant I,John Clark MD,johan.willis@bilearner.com,TNS,Active,Part-Time,Zone A,Part-Time,Unk,,Admin Offices,General - Con,MA,Foreman,Male,93554,White,Single,Fully Meets,3,1344,,1,4,5,2022-11-01,Technical Skills,Internal,Incomplete,Port Jesse,Marissa Johnson,5,284.38
Seth,Alvarez,2023-01-27,,Sr. Network Engineer,Amy Jones,seth.alvarez@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Unk,,Admin Offices,Fielders,MA,Engineer,Male,85275,Other,Single,Fully Meets,3,1345,,2,4,4,2022-11-30,Communication Skills,External,Passed,Lisaberg,Samantha Chan,1,395.1
Aron,Grant,2021-02-21,2022-08-22,Sr. Network Engineer,Maurice Krause,aron.grant@bilearner.com,WBL,Active,Contract,Zone C,Temporary,Retirement,Today situation minute figure friend opportunity.,IT/IS,Field Operations,MA,Laborer,Male,37276,White,Divorced,Fully Meets,3,1346,,4,2,3,2023-07-02,Technical Skills,External,Failed,Bellview,James Dominguez,2,501.64
Haleigh,Carter,2022-03-04,2023-01-18,Sr. Network Engineer,Amy Griffin,haleigh.carter@bilearner.com,NEL,Active,Part-Time,Zone B,Full-Time,Retirement,Guess fight various decade second pattern.,IT/IS,General - Con,MA,Coordinator,Male,54734,Hispanic,Married,Fully Meets,3,1347,,4,3,1,2022-10-22,Communication Skills,Internal,Failed,New Vernonberg,Christopher Becker,5,792.72
Tatiana,Ayala,2019-04-21,2020-12-02,Software Engineering Manager,Debra Gomez,tatiana.ayala@bilearner.com,WBL,Future Start,Contract,Zone C,Part-Time,Involuntary,They behind war evening. Particular film war yes.,Software Engineering,Field Operations,MA,Engineer,Female,34961,Other,Married,Fully Meets,3,1348,,2,2,4,2023-08-01,Technical Skills,Internal,Completed,Lake Peter,Ernest Walter,4,594.15
Kaylynn,Mcguire,2021-08-02,2022-11-26,Accountant I,Jeremy Pope,kaylynn.mcguire@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,Retirement,Behind bar item management.,Admin Offices,Safety,MA,Manager,Female,33234,White,Divorced,Fully Meets,3,1349,,1,2,3,2022-11-26,Technical Skills,Internal,Incomplete,Mooreshire,Zoe Smith,3,870.01
Timothy,Villarreal,2022-03-04,,Accountant I,Jeffrey Williams,timothy.villarreal@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Unk,,Admin Offices,Field Operations,MA,Laborer,Female,45030,Black,Divorced,Fully Meets,3,1350,,3,4,5,2023-01-29,Leadership Development,Internal,Incomplete,North Miguelport,Jennifer Jimenez,2,610.06
Elliott,Petersen,2021-03-28,,Accountant I,Daniel Cooper,elliott.petersen@bilearner.com,TNS,Active,Contract,Zone C,Part-Time,Unk,,Admin Offices,Field Operations,MA,Tower Hand,Male,38846,White,Divorced,Fully Meets,3,1351,,4,1,5,2022-12-20,Project Management,Internal,Passed,Port Brian,Marcia Johnson,2,278.16
Lily,Tyler,2018-08-08,2023-06-01,Sr. Network Engineer,Chase Ho,lily.tyler@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Voluntary,Series significant out.,Admin Offices,Field Operations,MA,Technician,Male,43568,Other,Divorced,Fully Meets,3,1352,,4,2,1,2022-11-01,Communication Skills,External,Completed,Smithchester,Emily Harmon,4,218.93
Noe,Mann,2020-09-15,2022-01-06,Sr. Network Engineer,Felicia Bailey,noe.mann@bilearner.com,WBL,Active,Part-Time,Zone A,Temporary,Involuntary,Will message south game.,IT/IS,Field Operations,MA,Supervisor,Male,48891,White,Single,Fully Meets,3,1353,,5,1,5,2022-12-16,Communication Skills,Internal,Incomplete,Clarkehaven,Mark Zamora,5,179.21
Christina,Terry,2020-10-28,2022-02-27,Software Engineering Manager,Christopher Jones,christina.terry@bilearner.com,WBL,Future Start,Full-Time,Zone C,Full-Time,Involuntary,Wear happen goal choice must.,Software Engineering,Field Operations,MA,Top Hand,Female,79778,Black,Widowed,Fully Meets,3,1354,,4,4,2,2023-08-03,Communication Skills,External,Failed,Aprilville,Amanda Brooks,2,983.37
Niko,Durham,2021-06-16,2021-11-23,Administrative Assistant,Alec Taylor,niko.durham@bilearner.com,SVG,Active,Full-Time,Zone B,Temporary,Resignation,Common paper smile way career capital.,Admin Offices,General - Con,MA,Coordinator,Female,79459,Hispanic,Single,Fully Meets,3,1355,,2,2,3,2023-03-13,Project Management,Internal,Completed,West Mark,Todd Hansen,5,534.28
Dante,Strong,2023-03-20,2023-06-21,Accountant I,Ronald Jones,dante.strong@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Voluntary,List remember benefit memory also deal people.,Admin Offices,Engineers,MA,Engineer,Female,93230,Hispanic,Married,Fully Meets,3,1356,,1,1,1,2023-04-06,Technical Skills,Internal,Incomplete,Michellefort,Dwayne Day,3,301.39
Angeline,Perez,2018-09-07,2021-07-16,Accountant I,Mrs. Tracy Cisneros DDS,angeline.perez@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Fast whether mouth physical.,Admin Offices,Engineers,MA,Principal,Male,74550,Black,Divorced,Fully Meets,3,1357,,1,4,3,2023-05-26,Project Management,External,Incomplete,Williamview,Jessica Turner,3,231.65
Jairo,Blanchard,2018-11-08,2022-10-28,Accountant I,Isabella Hawkins,jairo.blanchard@bilearner.com,TNS,Active,Part-Time,Zone B,Full-Time,Retirement,Involve study commercial billion and.,Admin Offices,Field Operations,MA,Laborer,Male,1706,Black,Married,Fully Meets,3,1358,,1,2,5,2022-08-10,Communication Skills,Internal,Completed,Danielchester,Mary Galloway,2,994.81
Rishi,Watkins,2019-01-26,,Sr. Network Engineer,Kendra Garcia,rishi.watkins@bilearner.com,BPC,Active,Full-Time,Zone A,Part-Time,Unk,,Admin Offices,Catv,MA,Foreman,Male,50894,Asian,Married,Fully Meets,3,1359,,4,5,1,2023-02-14,Customer Service,External,Incomplete,South Lisaview,Mary Bonilla,4,729.91
Immanuel,Goodwin,2021-08-30,,Sr. Network Engineer,Dawn Williams,immanuel.goodwin@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Field Operations,MA,Technician,Male,27367,Asian,Divorced,PIP,3,1360,,5,2,1,2022-09-20,Leadership Development,Internal,Passed,North Anthonyberg,Douglas Barton,2,538.02
Elle,Berry,2023-03-08,2023-03-30,Sr. Accountant,Rebecca Randolph,elle.berry@bilearner.com,BPC,Future Start,Full-Time,Zone A,Full-Time,Voluntary,Second scene guy age alone sing year pick.,Admin Offices,Aerial,MA,Supervisor,Female,18484,Black,Married,Exceeds,3,1361,,1,3,2,2022-10-09,Project Management,Internal,Failed,Port Davidfurt,Stephen Chandler,4,903.88
Raphael,Francis,2019-11-10,2020-12-03,Administrative Assistant,William Page,raphael.francis@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Retirement,Rock entire unit amount hope seem hotel.,Admin Offices,General - Con,MA,Technician,Female,36283,Asian,Widowed,Exceeds,3,1362,,5,2,5,2022-08-29,Customer Service,Internal,Passed,Lake Allisonhaven,Tonya Wiley,4,196.94
Hadley,Barrett,2023-07-28,,Accountant I,Deborah Johnson,hadley.barrett@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Admin Offices,General - Con,MA,Laborer,Female,82125,Asian,Divorced,PIP,3,1363,,5,2,2,2022-12-15,Project Management,Internal,Completed,Danielleburgh,Dana Martin,2,285.83
Mollie,Jenkins,2019-04-03,2019-08-05,Accountant I,Danny Williams,mollie.jenkins@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Voluntary,Create although card she best and music.,Admin Offices,Finance & Accounting,MA,Administration,Male,32101,White,Divorced,Exceeds,3,1364,,2,2,4,2022-12-28,Project Management,External,Incomplete,Poolemouth,John Wilson,4,818.6
Cali,Nolan,2019-07-24,,Accountant I,Misty Collier,cali.nolan@bilearner.com,TNS,Active,Contract,Zone C,Part-Time,Unk,,Admin Offices,Field Operations,MA,Lineman,Male,64340,Hispanic,Widowed,Exceeds,3,1365,,5,1,2,2023-04-10,Leadership Development,External,Incomplete,Anthonybury,Joshua Gallagher,1,610.97
Malik,Crane,2022-04-29,2022-12-11,Sr. Network Engineer,Peter Ortiz,malik.crane@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Voluntary,Just information assume act possible work later.,IT/IS,General - Con,MA,Laborer,Male,14151,Black,Single,Exceeds,3,1366,,1,4,2,2022-11-18,Technical Skills,Internal,Completed,East David,Justin Herrera,1,762.83
Bryce,Higgins,2020-10-06,,Sr. Network Engineer,Jeremy Frye,bryce.higgins@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Unk,,IT/IS,Executive,MA,Coordinator,Female,61754,White,Divorced,Exceeds,3,1367,,1,4,3,2022-09-20,Project Management,External,Incomplete,Medinafort,Jesus Jackson,5,438.44
Beatrice,Bean,2020-04-04,,Sr. Accountant,Leah Boyd,beatrice.bean@bilearner.com,PYZ,Active,Part-Time,Zone C,Temporary,Unk,,Admin Offices,General - Sga,MA,Estimator,Female,24157,White,Widowed,Exceeds,3,1368,,2,2,2,2022-10-19,Project Management,Internal,Incomplete,East Briantown,Denise Lopez,4,271.9
Shea,Novak,2021-03-26,,Administrative Assistant,Darren Zimmerman,shea.novak@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Unk,,Sales,Aerial,MA,Foreman,Female,6564,Black,Married,Exceeds,3,1369,,2,4,3,2023-01-31,Communication Skills,External,Incomplete,Danatown,David Hernandez,2,629.2
Mateo,Mcdaniel,2022-05-19,,Administrative Assistant,Tommy Obrien,mateo.mcdaniel@bilearner.com,SVG,Active,Part-Time,Zone A,Temporary,Unk,,Admin Offices,General - Con,MA,Locator,Female,55619,Black,Married,Exceeds,3,1370,,1,2,1,2022-09-06,Leadership Development,Internal,Incomplete,Marshallland,Jamie Davis MD,1,850.28
Arianna,Carlson,2021-08-28,2021-10-16,Accountant I,Mrs. Nicole Garrison MD,arianna.carlson@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Involuntary,Tax thousand few tonight seek.,Admin Offices,Field Operations,MA,Technician,Female,26844,Black,Married,Exceeds,3,1371,,1,1,2,2022-10-01,Leadership Development,External,Passed,New Brittanyshire,Eric Bradley,1,321.25
Frankie,Davenport,2022-11-24,,Accountant I,Gary Clark,frankie.davenport@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Unk,,Admin Offices,Aerial,MA,Foreman,Male,34610,White,Single,Exceeds,3,1372,,3,1,4,2023-06-03,Customer Service,Internal,Passed,Ericamouth,Amy Fowler,1,475.32
Morgan,Hammond,2022-01-12,2022-11-11,Accountant I,Tina Shaw,morgan.hammond@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Resignation,Account Republican reduce right.,Admin Offices,Field Operations,MA,Laborer,Male,20630,Other,Divorced,Exceeds,3,1373,,1,2,5,2022-09-08,Leadership Development,External,Failed,West Anthony,Julie Sanders,4,847.2
Judith,Mccullough,2019-07-07,,Sr. Network Engineer,Stephen Myers,judith.mccullough@bilearner.com,PYZ,Active,Part-Time,Zone B,Temporary,Unk,,IT/IS,Aerial,MA,Foreman,Female,78109,White,Married,Exceeds,3,1374,,5,5,4,2022-10-08,Customer Service,Internal,Completed,Colemanton,Ashley Miller,1,983.35
Luca,Francis,2021-07-14,,Sr. Accountant,Jeremy Anderson,luca.francis@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Unk,,Admin Offices,Technology / It,MA,Intern,Female,1498,Asian,Divorced,Exceeds,3,1375,,1,3,2,2023-06-25,Technical Skills,External,Passed,North Shawnville,Candace Brown,3,880.9
Mallory,Figueroa,2019-12-03,2022-02-10,Administrative Assistant,Linda Brown,mallory.figueroa@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Retirement,Example field consider before old yes on since.,Sales,Field Operations,MA,Supervisor,Female,30890,Other,Single,Exceeds,3,1376,,4,3,5,2023-08-02,Customer Service,External,Completed,South Kimberly,Adam Smith,3,795.72
Larissa,Douglas,2021-03-03,2021-07-10,Administrative Assistant,Harry Ellis,larissa.douglas@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Resignation,Current budget certain interview increase.,Admin Offices,General - Con,MA,Technician,Female,67773,White,Divorced,Exceeds,3,1377,,5,5,4,2023-06-20,Communication Skills,Internal,Completed,Port Kevinland,Anna Dennis,2,909.56
Konnor,Rivas,2022-06-13,,Accountant I,Michael Mathis,konnor.rivas@bilearner.com,EW,Active,Full-Time,Zone C,Part-Time,Unk,,Admin Offices,Fielders,MA,Engineer,Female,12640,White,Married,PIP,3,1378,,1,4,5,2023-01-28,Communication Skills,External,Failed,New Ashleyburgh,Danny Santiago,5,145.7
Fernanda,Yu,2023-01-23,,Accountant I,Vincent Snyder,fernanda.yu@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Unk,,Admin Offices,General - Sga,MA,Supervisor,Male,64384,White,Widowed,Exceeds,3,1379,,5,2,5,2023-03-06,Communication Skills,Internal,Passed,Joneston,Charles Lee,1,397.48
Solomon,Paul,2020-09-06,,Accountant I,Mr. Richard Hicks MD,solomon.paul@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Admin Offices,Field Operations,MA,Laborer,Male,3676,Hispanic,Single,Exceeds,3,1380,,1,1,2,2023-05-26,Communication Skills,External,Failed,West David,Grace Wheeler,3,326.7
Emiliano,Young,2022-10-17,,Sr. Network Engineer,Chad Crawford,emiliano.young@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Aerial,MA,Foreman,Female,71974,Other,Single,PIP,3,1381,,2,2,1,2022-09-20,Leadership Development,Internal,Failed,East Amy,Tammy Bowen,4,718.16
Mason,Ellis,2019-06-07,,Sr. Accountant,Ana Henry,mason.ellis@bilearner.com,TNS,Active,Full-Time,Zone B,Part-Time,Unk,,Admin Offices,Field Operations,MA,Supervisor,Female,27614,White,Widowed,Exceeds,3,1382,,2,1,1,2023-02-21,Communication Skills,Internal,Passed,Jameschester,Jose Gates,5,162.46
Athena,Moore,2022-01-28,2022-09-16,Sr. Accountant,Alan Rios,athena.moore@bilearner.com,BPC,Active,Contract,Zone C,Part-Time,Resignation,Affect bar himself mention serious.,Admin Offices,General - Con,MA,Technician,Female,88549,Hispanic,Divorced,Exceeds,3,1383,,4,1,5,2023-01-15,Customer Service,Internal,Completed,Port Marie,Kara English MD,3,924.64
